NAME,TBNAME,TBCREATOR
ROWEND,COLUMNS,SYSCAT  
SCALE,COLUMNS,SYSCAT  
SCOPE_TABNAME,COLUMNS,SYSCAT  
SCOPE_TABSCHEMA,COLUMNS,SYSCAT  
SECLABELNAME,COLUMNS,SYSCAT  
SOURCE_TABNAME,COLUMNS,SYSCAT  
SOURCE_TABSCHEMA,COLUMNS,SYSCAT  
SPECIAL_PROPS,COLUMNS,SYSCAT  
STRINGUNITSLENGTH,COLUMNS,SYSCAT  
SUB_COUNT,COLUMNS,SYSCAT  
SUB_DELIM_LENGTH,COLUMNS,SYSCAT  
TABNAME,COLUMNS,SYSCAT  
TABSCHEMA,COLUMNS,SYSCAT  
TARGET_TYPENAME,COLUMNS,SYSCAT  
TARGET_TYPESCHEMA,COLUMNS,SYSCAT  
TEXT,COLUMNS,SYSCAT  
TRANSACTIONSTARTID,COLUMNS,SYSCAT  
TYPENAME,COLUMNS,SYSCAT  
TYPESCHEMA,COLUMNS,SYSCAT  
TYPESTRINGUNITS,COLUMNS,SYSCAT  
COLNAME,COLUSE,SYSCAT  
COLSEQ,COLUSE,SYSCAT  
DIMENSION,COLUSE,SYSCAT  
TABNAME,COLUSE,SYSCAT  
TABSCHEMA,COLUSE,SYSCAT  
TYPE,COLUSE,SYSCAT  
CONDID,CONDITIONS,SYSCAT  
CONDMODULEID,CONDITIONS,SYSCAT  
CONDMODULENAME,CONDITIONS,SYSCAT  
CONDNAME,CONDITIONS,SYSCAT  
CONDSCHEMA,CONDITIONS,SYSCAT  
CREATE_TIME,CONDITIONS,SYSCAT  
OWNER,CONDITIONS,SYSCAT  
OWNERTYPE,CONDITIONS,SYSCAT  
REMARKS,CONDITIONS,SYSCAT  
SQLSTATE,CONDITIONS,SYSCAT  
